id_localidad;id_estacion;Dirección;Margen;Rótulo;tipoVenta;rem;horario;tipoServicio
1;1;AVENIDA CASTILLA LA MANCHA, 26;D;Nº 10.935;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
2;2;CR CM-332, 46,4;I;REPSOL;P;dm;L-D: 7:00-23:00;L-D: 7:00-23:00 (A)
3;3;AVENIDA 1º DE MAYO, S/N;N;CARREFOUR;P;dm;"L-S: 08:00-22:00; D: 09:00-21:00";"L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)"
4;4;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5;I;BP ROMICA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
5;5;CALLE FEDERICO GARCIA LORCA, 1;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
6;6;CALLE FEDERICO GARCIA LORCA, 5;I;CEPSA;R;dm;L-S: 05:00-23:00;L-S: 05:00-23:00 (A)
7;7;AVENIDA MENÉNDEZ PIDAL, 58;N;TAMOS;P;dm;L-D: 24H;L-D: 24H (A)
8;8;AVENIDA ESCRITOR RODRIGO RUBIO, 3;D;A&A;P;dm;L-S: 09:00-21:30;Sin datos
9;9;CALLE CONSTANTINO ROMERO, S/N;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
10;10;PASEO CUBA (LA), 36;N;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
11;11;CL PASEO DE LA CUBA, 15;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
12;12;CALLE HERMANOS FALCÓ, 2;D;CEPSA;P;dm;L-D: 06:30-22:30;Sin datos
13;13;CALLE ALMANSA, 2;I;CEPSA;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
14;14;CARRETERA JAEN KM. 2;D;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
15;15;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N;N;FAMILY ENERGY;P;dm;"L-S: 07:00-23:00; D: 08:00-23:00";"L-S: 07:00-23:00 (A); D: 08:00-23:00 (A)"
16;16;AVDA. DE LOS TOREROS, S/N;N;INPEALSA;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P)
17;17;CALLE CTRA. DE JAEN, 79;I;REPSOL;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
18;18;CR N-322, 337,8;I;REPSOL;P;dm;L-D: 06:30-22:00;L-D: 06:30-22:00 (P)
19;19;PG CAMPOLLANO-P. 2-CT, S.N.;D;REPSOL;P;OM;"L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00";"L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A)"
20;20;CR N-301, 244;I;REPSOL;P;OM;L-D: 24H;L-D: 24H (A)
21;21;CARRETERA N-322 KM. 359;D;REPSOL;P;OM;"L-V: 07:00-21:00; S-D: 09:00-14:00";Sin datos
22;22;AVENIDA 1º DE MAYO, S/N;N;PETROCAMP;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
23;23;CARRETERA NACIONAL 322 PTO KM 347 KM. 347;D;P347;P;dm;L-S: 07:00-22:00;L-S: 07:00-22:00 (A)
24;24;AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N;N;INPEALSA;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P)
25;25;CARRETERA NACIONAL 301 KM. 256;D;INPEALSA;P;dm;L-D: 24H;"L-V: 00:00-06:00 (D), 06:00-22:00 (P), 22:00-23:59 (D); S: 00:00-07:00 (D), 07:00-15:00 (P), 15:00-23:59 (D); D: 24H (D)"
26;26;CARRETERA N-322 KM. 349;D;CEPSA;P;dm;L-D: 24H;L-D: 24H (A)
27;27;AVENIDA PRINCIPE, 2;D;REPSOL;P;OM;L-D: 08:00-16:00;L-D: 08:00-16:00 (A)
28;28;CM. 3203 km 14,1;D;LOZANO;P;dm;"L-S: 07:00-14:00; D: 09:00-14:00";Sin datos
29;29;CTRA.AGUASNUEVAS KM 0,25;D;CORYMAR;R;dm;L-D: 24H;L-D: 24H (A)
30;30;AUTOVIA A-31 KM. 69;I;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
31;31;MADRID-CARTAGENA km 248,5;D;REPSOL. LOS ANGELES DE LA MANCHA, S.L.;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
32;32;MADRID-CARTAGENA km 248,5;I;REPSOL Nº ESTACIÓN 97179;P;OM;L-V: 06:00-22:00;L-V: 06:00-22:00 (A)
33;33;POLIGONO CAMPOLLANO AVENIDA -0-, 69;D;ABOIL;P;dm;"L-V: 07:00-21:00; S-D: 09:00-14:00";"L-V: 07:00-21:00 (P); S-D: 09:00-14:00 (P)"
34;34;POLIGONO CAMPOLLANO AVENIDA 1, 0;N;INPEALSA;P;dm;"L-V: 06:00-22:00; S: 06:00-14:00";S: 06:00-14:00 (A)
35;35;POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69;D;ENERCOM CARBURANTES;P;dm;L-D: 24H;L-D: 24H (A)
36;36;CARRETERA C-M 332 KM. 2,6;D;"INLOCOR S.L. ""CEPSA""";P;dm;L-D: 06:00-23:30;L-D: 06:00-23:30 (A)
37;37;SECTOR PARCELA T-3 LOCAL52, 14;N;ALCAMPO;P;dm;"L-S: 06:00-23:00; D: 08:00-23:00";"L-S: 06:00-23:00 (A); D: 08:00-23:00 (A)"
38;38;AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67;N;VALERO 24H;P;dm;L-D: 24H;L-D: 24H (A)
39;39;POLIGONO CAMPOLLANO C/.F, 13;D;AVANZA OIL;P;dm;L-D: 24H;L-D: 24H (A)
40;40;AVENIDA 3ª ESQUINA C/ F Nº3, 3;N;FAST & GAS;P;dm;L-D: 24H;L-D: 24H (A)
41;41;CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N;D;NATURGY ES  GNV ALBACETE;P;dm;L-D: 24H;L-D: 24H (A)
42;42;AVENIDA PRIMERA, S/N;D;GMOIL;P;dm;L-D: 24H;L-D: 24H (A)
43;43;CALLE AUTOVIA, SN;N;LA GAVIOTA GASOLINERA 24 HORA;P;dm;L-D: 24H;"L-V: 00:00-08:30 (D), 08:30-19:00 (A), 19:00-23:59 (D); S-D: 24H (D)"
44;44;CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238;I;AREA LOS LLANOS;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
45;45;POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N;D;CEPSA;P;dm;L-D: 06:30-22:30;Sin datos
46;46;AUTOVIA A-30 KM. 239,4;D;CEPSA;P;OM;L-D: 07:00-23:00;Sin datos
47;47;AUTOVIA A-30 KM. 239,4;I;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
48;48;CM-3203 km 41,9;I;CEPSA;P;dm;L-D: 07:00-21:30;L-D: 07:00-21:30 (A)
49;49;CARRETERA CM-3201 47,1 KM. 47,1;D;EL JUCAR;P;dm;L-D: 08:00-20:00;Sin datos
50;50;CARRETERA 322 KM. 302;I;REPSOL;P;OM;L-V: 07:00-17:00;L-V: 07:00-17:00 (A)
51;51;CL AVDA. DE AYORA, S.N. A;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
